support_path,size_bytes,sha256
README.md,2847,2f77cb8abafe2e0432a11fc42f2469508d7b8e3f326dc7c33d4801a8686692f9
code/root/BPMN_engine.py,11160,3aef9022b4e621565821d429b7bbe5ef57c169a3c5d835b710e3d76aa4ada7e1
code/root/SimulationEngineCore.py,10848,7bff8a91df8a3ea4b9c852b346887bd71dfdc0823d921eaf592fe252c09773fd
code/scripts/branching/run_transition_aware_generative_smoke.py,11667,fa52e7d278822197280e9718f1a89166f665500fcdb2cb4bd3b129c9f1713781
code/scripts/resource_allocation/run_final_resource_allocation_evaluation.py,76840,6328477bae1d5c3e2472c9f11f1ac83973ab665bed3745b5adab8d1223641f84
code/scripts/resource_allocation/run_full_method_audit.py,53064,3b2ddffd67e6105c7d485d001b9ce7d69c9bb02f98e9695b6c92d40088b7845e
code/scripts/resource_allocation/write_reproducibility_manifest.py,2140,f66030e94ca0b70eb1f060be1cb9c03dcc8b5b3d8c87e67164c17178fa04bc47
code/src/resource_allocation/BatchAllocationAdapter.py,5892,7049c3c507a0e9d4f4c8e52484aba02c22ecf7c540c4145ae0d4cb978b18562f
code/src/resource_allocation/GlobalAllocationAdapter.py,2110,8c436f6cd7fdedd025847c6c7fc8b1e3c1ca77aaac8f1a9a5ad0c41ac25dd3b7
code/src/resource_allocation/KunklerAllocationAdapter.py,12322,41e920348bdf8c603c9870b0a500dd2b1b6db436a7b18a5900a6b66791e152a9
code/src/resource_allocation/ParkSongAllocation.py,18746,3c2e101f671263f14b9363767233fa88cd6b0e7d8382a7109a6577c7e7e427b1
code/src/resource_allocation/ParkSongMLIntegration.py,1573,da9024be9b3371a2740841b3219c4b68e31137d8fb2cd15ed044a7cb4c044a1f
code/src/resource_allocation/PickInterfaceAllocationAdapter.py,5023,1dffbc0f8c10f63b1124328a6fa77cf143c2cec0a1a7e05056cb060233911d88
code/src/resource_allocation/RoundRobinResourceAllocation.py,4110,353e0db647d076b292fd32ce231d28912068835dfccf7b22effcd9804f6557f7
code/src/resource_allocation/ShortestQueueAllocation.py,4791,eee02c797cce4534b78b1b0d18e286418d729b8ce22307498dc279525e9ed2e3
code/src/resource_allocation/integration/CompositeBranchingAdapter.py,13716,7f9499041ebf2b6780fbe340218f388cfacaaeb9338d86632c02d9e5a7fbbd75
code/src/resource_allocation/integration/IntegratedAllocationEngine.py,77298,ebbf7ecca1e098a6578b8430766cc1bc27955c6b7bf9735fff62f3c2b4de41dd
code/src/resource_allocation/integration/WeightedFairnessAdapter.py,3527,7c15896c25ec91f58245a6e0499a14b461908b7247344a52c0be565e349df1ab
code/tests/resource_allocation/test_final_evaluation_metrics.py,12803,493886feb0102a3506ba623e35c10d7c29dede8750a038012f4445d82c1dccaa
report_sections/base_heuristics_eval_joao.tex,567,dc576695c042876ef124472abe30340f12c6d5f71156b1fd015cb1858673ed1f
report_sections/cross_method_joao.tex,1382,60c5a0cc9af0b992dc3804e6c124b857ac33e998c6af7cad7c40a494179ed6bc
report_sections/evaluation_protocol_joao.tex,2406,894bd050577f6ab9c81767cd91ce0dacaec0657aa62766bd09eb135dff8d94e7
report_sections/formalization_park.tex,3621,1e5aa6a139e2aab1250fe0cd618463dbf7bddac3042e9f76ed68ffc424e098ab
report_sections/heuristics.tex,2007,ea3a6158a1682a737da5d06d496e591d9e3b110a0f385a9091bcc458334ad9e1
report_sections/joao_appendix.tex,2994,f0da63b293afe975477617670be725ec9e4ec62398fb164a1acef5e2e9b92001
report_sections/parksong_eval_joao.tex,1761,a8652e92931c57f21d145a4d98b4d88ad326431a1ff590ea7637931159f1a802
results/branching_corrected_20260717/generative_transition_aware_smoke/README.md,976,329d35679574cf5413b109f84ecf10519b92d3d36bcfc6d9c4a0d04af57a6084
results/branching_corrected_20260717/generative_transition_aware_smoke/batch_seed1_event_log.csv,119208,fd98160b657d31fe021fa6c0e28618e8f7bb01b6fa0d1471c08de28c31223ccc
results/branching_corrected_20260717/generative_transition_aware_smoke/batch_seed2_event_log.csv,139157,49e1b92333f88c982ad6187e31f86fee6992865a8e849e81f534b4398caa101d
